Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
169,34,5,167,0,Some Random Commen with Id 169
170,34,5,88,0,Some Random Commen with Id 170
171,34,5,17,4,Some Random Commen with Id 171
172,34,5,16,1,Some Random Commen with Id 172
173,34,5,170,0,Some Random Commen with Id 173
174,35,3,12,0,Some Random Commen with Id 174
175,35,3,62,7,Some Random Commen with Id 175
176,35,3,190,3,Some Random Commen with Id 176
177,36,7,91,3,Some Random Commen with Id 177
178,36,7,14,4,Some Random Commen with Id 178
179,36,7,185,8,Some Random Commen with Id 179
180,36,7,170,3,Some Random Commen with Id 180
181,36,7,13,8,Some Random Commen with Id 181
182,36,7,167,1,Some Random Commen with Id 182
183,37,8,147,8,Some Random Commen with Id 183
184,37,8,48,7,Some Random Commen with Id 184
185,37,8,48,6,Some Random Commen with Id 185
186,37,8,94,9,Some Random Commen with Id 186
187,38,2,87,7,Some Random Commen with Id 187
188,38,2,139,8,Some Random Commen with Id 188
189,38,2,41,4,Some Random Commen with Id 189
190,38,2,27,6,Some Random Commen with Id 190
191,38,2,164,3,Some Random Commen with Id 191
192,39,8,66,0,Some Random Commen with Id 192
193,39,8,186,2,Some Random Commen with Id 193
194,39,8,116,7,Some Random Commen with Id 194
