Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
60,12,1,102,7,Some Random Commen with Id 60
61,12,1,52,3,Some Random Commen with Id 61
62,13,9,1,2,Some Random Commen with Id 62
63,13,9,174,5,Some Random Commen with Id 63
64,13,9,118,6,Some Random Commen with Id 64
65,15,1,0,4,Some Random Commen with Id 65
66,15,1,152,1,Some Random Commen with Id 66
67,15,1,170,7,Some Random Commen with Id 67
68,17,4,138,6,Some Random Commen with Id 68
69,17,4,80,6,Some Random Commen with Id 69
70,17,4,140,0,Some Random Commen with Id 70
71,17,4,109,2,Some Random Commen with Id 71
72,17,4,32,3,Some Random Commen with Id 72
73,17,4,81,4,Some Random Commen with Id 73
74,17,4,176,5,Some Random Commen with Id 74
75,17,4,10,7,Some Random Commen with Id 75
76,19,0,146,0,Some Random Commen with Id 76
77,19,0,16,9,Some Random Commen with Id 77
78,19,0,164,6,Some Random Commen with Id 78
79,19,0,142,1,Some Random Commen with Id 79
80,19,0,97,1,Some Random Commen with Id 80
81,19,0,67,6,Some Random Commen with Id 81
82,19,0,59,5,Some Random Commen with Id 82
83,19,0,176,8,Some Random Commen with Id 83
84,20,1,198,5,Some Random Commen with Id 84
85,21,4,175,8,Some Random Commen with Id 85
86,21,4,157,3,Some Random Commen with Id 86
87,21,4,26,0,Some Random Commen with Id 87
88,21,4,138,7,Some Random Commen with Id 88
89,21,4,36,5,Some Random Commen with Id 89
90,21,4,75,5,Some Random Commen with Id 90
91,21,4,108,4,Some Random Commen with Id 91
92,22,3,15,2,Some Random Commen with Id 92
93,22,3,163,9,Some Random Commen with Id 93
94,22,3,154,4,Some Random Commen with Id 94
95,22,3,49,3,Some Random Commen with Id 95
96,22,3,63,0,Some Random Commen with Id 96
97,23,2,46,4,Some Random Commen with Id 97
98,23,2,18,8,Some Random Commen with Id 98
99,23,2,92,8,Some Random Commen with Id 99
100,23,2,12,2,Some Random Commen with Id 100
101,23,2,41,5,Some Random Commen with Id 101
102,23,2,116,5,Some Random Commen with Id 102
103,23,2,99,8,Some Random Commen with Id 103
104,24,9,64,8,Some Random Commen with Id 104
105,24,9,29,0,Some Random Commen with Id 105
106,24,9,137,4,Some Random Commen with Id 106
107,24,9,33,1,Some Random Commen with Id 107
108,24,9,131,8,Some Random Commen with Id 108
109,24,9,40,5,Some Random Commen with Id 109
110,24,9,31,4,Some Random Commen with Id 110
111,24,9,179,6,Some Random Commen with Id 111
112,25,0,128,7,Some Random Commen with Id 112
113,25,0,172,8,Some Random Commen with Id 113
114,25,0,50,7,Some Random Commen with Id 114
115,25,0,60,8,Some Random Commen with Id 115
116,25,0,112,4,Some Random Commen with Id 116
117,26,2,147,1,Some Random Commen with Id 117
118,26,2,66,1,Some Random Commen with Id 118
119,26,2,25,3,Some Random Commen with Id 119
120,26,2,33,5,Some Random Commen with Id 120
121,27,3,25,1,Some Random Commen with Id 121
122,27,3,92,3,Some Random Commen with Id 122
123,28,9,24,9,Some Random Commen with Id 123
124,28,9,177,8,Some Random Commen with Id 124
125,28,9,75,4,Some Random Commen with Id 125
126,29,1,90,7,Some Random Commen with Id 126
127,29,1,54,4,Some Random Commen with Id 127
128,29,1,84,1,Some Random Commen with Id 128
129,30,2,187,1,Some Random Commen with Id 129
130,30,2,99,9,Some Random Commen with Id 130
131,30,2,133,1,Some Random Commen with Id 131
132,30,2,33,5,Some Random Commen with Id 132
133,31,4,104,9,Some Random Commen with Id 133
134,31,4,88,9,Some Random Commen with Id 134
135,31,4,29,6,Some Random Commen with Id 135
136,31,4,3,3,Some Random Commen with Id 136
137,31,4,13,1,Some Random Commen with Id 137
138,31,4,96,7,Some Random Commen with Id 138
139,31,4,62,2,Some Random Commen with Id 139
140,31,4,48,3,Some Random Commen with Id 140
141,32,2,10,7,Some Random Commen with Id 141
142,32,2,55,9,Some Random Commen with Id 142
143,32,2,129,3,Some Random Commen with Id 143
144,32,2,114,5,Some Random Commen with Id 144
145,32,2,165,6,Some Random Commen with Id 145
146,33,2,37,8,Some Random Commen with Id 146
147,33,2,21,8,Some Random Commen with Id 147
148,33,2,2,0,Some Random Commen with Id 148
149,33,2,3,0,Some Random Commen with Id 149
150,33,2,198,1,Some Random Commen with Id 150
151,33,2,151,8,Some Random Commen with Id 151
152,33,2,171,8,Some Random Commen with Id 152
153,33,2,111,4,Some Random Commen with Id 153
154,33,2,73,8,Some Random Commen with Id 154
155,34,7,143,6,Some Random Commen with Id 155
156,34,7,190,1,Some Random Commen with Id 156
157,34,7,51,6,Some Random Commen with Id 157
158,34,7,184,0,Some Random Commen with Id 158
159,34,7,52,0,Some Random Commen with Id 159
160,34,7,133,3,Some Random Commen with Id 160
161,34,7,140,5,Some Random Commen with Id 161
162,35,4,76,6,Some Random Commen with Id 162
163,35,4,27,8,Some Random Commen with Id 163
164,35,4,55,3,Some Random Commen with Id 164
165,35,4,187,3,Some Random Commen with Id 165
166,35,4,80,7,Some Random Commen with Id 166
167,35,4,171,4,Some Random Commen with Id 167
168,36,0,50,8,Some Random Commen with Id 168
169,36,0,167,8,Some Random Commen with Id 169
170,36,0,145,1,Some Random Commen with Id 170
171,36,0,76,3,Some Random Commen with Id 171
172,38,5,8,2,Some Random Commen with Id 172
173,38,5,76,7,Some Random Commen with Id 173
174,38,5,64,8,Some Random Commen with Id 174
175,38,5,114,7,Some Random Commen with Id 175
176,38,5,34,5,Some Random Commen with Id 176
177,38,5,177,5,Some Random Commen with Id 177
178,39,4,179,7,Some Random Commen with Id 178
179,39,4,95,6,Some Random Commen with Id 179
180,39,4,1,7,Some Random Commen with Id 180
